"","run","otu1","otu2","sig.residCor"
"922","run1","ITSall_OTUa_6850","ITSall_OTUd_292",0.170567037418989
"923","run1","ITSall_OTUa_6850","ITSall_OTUd_308",0.166878070488713
"924","run1","ITSall_OTUa_6850","ITSall_OTUd_340",0.363911718476549
"925","run1","ITSall_OTUa_6850","ITSall_OTUd_341",0.380539216369498
"926","run1","ITSall_OTUa_6850","ITSall_OTUd_349",0.208926273267911
"928","run1","ITSall_OTUa_6850","ITSall_OTUd_206",0.206574118330913
"929","run1","ITSall_OTUa_6850","ITSall_OTUd_217",0.0696443366022813
"930","run1","ITSall_OTUa_6850","ITSall_OTUd_221",0.16901946899198
"931","run1","ITSall_OTUa_6850","ITSall_OTUd_188",0.148858025208854
"932","run1","ITSall_OTUa_6850","ITSall_OTUd_254",0.153497604694206
"933","run1","ITSall_OTUa_6850","ITSall_OTUd_222",0.206163077471821
"934","run1","ITSall_OTUa_6850","ITSall_OTUd_1055",0.305497728696039
"935","run1","ITSall_OTUa_6850","ITSall_OTUd_769",0.334830331275711
"936","run1","ITSall_OTUa_6850","ITSall_OTUd_721",0.226752236502606
"937","run1","ITSall_OTUa_6850","ITSall_OTUd_872",0.37431654094597
"938","run1","ITSall_OTUa_6850","ITSall_OTUd_4405",0.175995160165503
"939","run1","ITSall_OTUa_5756","ITSall_OTUa_5702",-0.0514138068701515
"940","run1","ITSall_OTUa_5756","ITSall_OTUa_5547",0.0397605100387078
"942","run1","ITSall_OTUa_5756","ITSall_OTUa_6319",0.105384621957995
"945","run1","ITSall_OTUa_5756","ITSall_OTUa_6490",0.0468937766720542
"950","run1","ITSall_OTUa_5756","ITSall_OTUa_10362",0.135086760291909
"954","run1","ITSall_OTUa_5756","ITSall_OTUa_7913",-0.0735871337953015
"962","run1","ITSall_OTUa_5756","ITSall_OTUa_2610",0.114730485315008
"963","run1","ITSall_OTUa_5756","ITSall_OTUa_2357",-0.105000487663885
"967","run1","ITSall_OTUa_5756","ITSall_OTUa_1471",-0.0528345385683367
"974","run1","ITSall_OTUa_5756","ITSall_OTUa_3958",0.143042408319601
"981","run1","ITSall_OTUa_5756","ITSall_OTUa_3426",0.0870560603871304
"984","run1","ITSall_OTUa_5756","ITSall_OTUa_3758",-0.0891876778261308
"986","run1","ITSall_OTUa_5756","ITSall_OTUb_6068",-0.155342272943242
"992","run1","ITSall_OTUa_5756","ITSall_OTUb_8287",0.146662755770486
"996","run1","ITSall_OTUa_5756","ITSall_OTUb_7634",-0.0585673044758603
"1000","run1","ITSall_OTUa_5756","ITSall_OTUb_2706",-0.0675502965252665
"1008","run1","ITSall_OTUa_5756","ITSall_OTUc_2088",-0.111262717541658
"1009","run1","ITSall_OTUa_5756","ITSall_OTUc_1536",-0.0569379258284504
"1033","run1","ITSall_OTUa_5756","ITSall_OTUd_533",0.170842693701774
"1039","run1","ITSall_OTUa_5756","ITSall_OTUd_168",0.0770626188600358
"1040","run1","ITSall_OTUa_5756","ITSall_OTUd_146",0.0798401716058071
"1045","run1","ITSall_OTUa_5756","ITSall_OTUd_9",-0.120816589143656
"1062","run1","ITSall_OTUa_5756","ITSall_OTUd_254",-0.0563920090739998
"1068","run1","ITSall_OTUa_5756","ITSall_OTUd_4405",-0.174073573328984
"1069","run1","ITSall_OTUa_5702","ITSall_OTUa_5547",-0.0285709743059178
"1073","run1","ITSall_OTUa_5702","ITSall_OTUa_6577",0.0605426760383981
"1074","run1","ITSall_OTUa_5702","ITSall_OTUa_6490",-0.0302901373629921
"1083","run1","ITSall_OTUa_5702","ITSall_OTUa_7913",0.0481017122206329
"1092","run1","ITSall_OTUa_5702","ITSall_OTUa_2357",0.0862975736846793
"1096","run1","ITSall_OTUa_5702","ITSall_OTUa_1471",0.0486776066170405
"1103","run1","ITSall_OTUa_5702","ITSall_OTUa_3958",-0.0838233545890621
"1110","run1","ITSall_OTUa_5702","ITSall_OTUa_3426",-0.0559989391595696
"1113","run1","ITSall_OTUa_5702","ITSall_OTUa_3758",0.087696743786066
"1115","run1","ITSall_OTUa_5702","ITSall_OTUb_6068",0.118669119715763
"1125","run1","ITSall_OTUa_5702","ITSall_OTUb_7634",0.0605590518107511
