"","community","codeStem","mean","se","n","upper","lower","time13","time25","time37","time59","time7","size"
"176","oo","EXCU3",0,NA,1,NA,NA,-0.0128259458654235,-0.0509452072000526,-0.131810264178579,-0.144215068925639,-0.0336437319225332,"large"
"177","oo","jasc1",0,NA,1,NA,NA,-0.0102976587082132,-0.182987956459948,-0.0605485774202427,-0.0553215969223582,-0.0416185992028152,"small"
"178","oo","JASC1",0,NA,1,NA,NA,-0.0518366630196306,-0.00182172976847211,-0.249296994646176,0.0312775574187251,0.00595896189794785,"large"
"179","oo","jasc2",0,NA,1,NA,NA,-0.0220573973168988,-0.0237813336058366,0.0100903761945835,0.0569689121300695,0.0624716845937884,"small"
"180","oo","JASC2",0,NA,1,NA,NA,-0.0241855511629582,0.0138619824636737,0.0317558045810641,0.0469498770934011,-0.014391148589712,"large"
"181","oo","jasc3",0,NA,1,NA,NA,-0.0705635758290189,0.225057344809595,-0.150208974146471,-0.0772698898082202,-0.0234385438401742,"small"
"182","oo","JASC3",0,NA,1,NA,NA,0.0248949973727437,-0.0438789237761685,-0.165605493503275,-0.0753453038002409,0.0468906725637376,"large"
"183","oo","LEPA1",0,NA,1,NA,NA,0.00278148273090665,-0.0430159163993602,0.0915155264040743,0.0131636152286634,0.0126552690318245,"large"
"184","oo","lepa2",0,NA,1,NA,NA,-0.0535518770107122,NA,-0.0209912434126867,0.0810373536451541,0.00885771885255221,"small"
"185","oo","LEPA2",0,NA,1,NA,NA,0.00898798172954025,0.0365787799649551,-0.0706606448764519,0.0297893387229307,0.0208288292562771,"large"
"186","oo","lepa3",0,NA,1,NA,NA,0.133028034852413,0.00181398935596045,0.0656180561059113,-0.312653797422974,0.00572805252580827,"small"
"187","oo","LEPA3",0,NA,1,NA,NA,0.0690996221960369,-0.193465337631496,0.0239227639758403,0.284624489710775,0.0641685570343628,"large"
"188","oo","LEPA4",0,NA,1,NA,NA,-0.00515493482876743,NA,0.0878412354355674,-0.340506866633905,-0.0438048453041036,"large"
"189","oo","mede1",0,NA,1,NA,NA,NA,-0.138592711539937,0.0972044144733135,0.0471082841248423,-0.0328699775362123,"small"
"190","oo","MEDE1",0,NA,1,NA,NA,-0.0637306340713709,0.0182763769044473,-0.0610650294496138,-0.137315075400953,0.00144195894281804,"large"
"191","oo","mede2",0,NA,1,NA,NA,0.0388790806282388,-0.0654067173279715,NA,0.0742251753159949,-0.142173916759064,"small"
"192","oo","MEDE2",0,NA,1,NA,NA,-0.00152500565410376,NA,-0.116715305274815,0.0831274333028706,0.0427862593894872,"large"
"193","oo","mede3",0,NA,1,NA,NA,0.0563467209096405,0.109870766497179,0.114033708274791,0.195154808017387,0.00557500979055449,"small"
"194","oo","MEDE3",0,NA,1,NA,NA,0.06265085232016,0.0501874384268497,0.104116831790047,-0.0283433386066603,0.0660959567934726,"large"
"195","oo","peli1",0,NA,1,NA,NA,0.0969776368816739,0.176235497810558,0.282340826703716,-0.0121003503041677,-0.100024584953484,"small"
