"","codeStem","code","species","size","waterperc","density","barkthick","C","N","P","K","Ca","Fe","Mn","Zn","Arabinose","Galactose","Glucose","Mannose","Rhamnose","Xylose","Lignin"
"63","JASC3","JASC","jasc","large",39.2749204664083,0.687523686012589,5.04666666666667,51.892,0.54278,92.646,153.057,546.383,44.134,98.056,4.13,1.6975,1.435,43.148,1.2695,0.345,13.624,33.0985
"64","leer1","leer","leer","small",27.3073263558516,0.702586206896552,1.18,49.98,0.26946,47.484,1022.312,3803.806,4339.512,692.971,20.355,NA,NA,NA,NA,NA,NA,NA
"65","leer3","leer","leer","small",25.0663129973475,0.755588673621461,0.27,49.98,0.26946,47.484,1022.312,3803.806,4339.512,692.971,20.355,NA,NA,NA,NA,NA,NA,NA
"66","leer9","leer","leer","small",24.9114521841795,0.776504297994269,0.68,49.98,0.26946,47.484,1022.312,3803.806,4339.512,692.971,20.355,NA,NA,NA,NA,NA,NA,NA
"67","lepa1","lepa","lepa","small",38.9198740697724,0.672846636946406,3.175,50.992,0.34985,93.6193333333333,507.896666666667,2279.434,5631.934,158.038,9.39133333333333,NA,NA,NA,NA,NA,NA,NA
"68","LEPA1","LEPA","lepa","large",48.8239247311828,0.681037969604482,2.95333333333333,53.702,0.22615,31.994,41.12,554.985,65.85,33.47,3.865,1.189,1.4415,26.947,1.159,0.3165,12.789,50.133
"69","lepa2","lepa","lepa","small",37.7903327055869,0.697420634920635,2.51,53.577,0.3367,88.474,536.126,2082.705,873.11,88.324,11.845,NA,NA,NA,NA,NA,NA,NA
"70","LEPA2","LEPA","lepa","large",48.9754499086383,0.681037969604482,2.95333333333333,54.214,0.25163,57.527,-21.968,545.456,56.282,23.794,4.063,1.1,1.806,32.2555,1.8445,0.291,11.5765,46.5675
"71","lepa3","lepa","lepa","small",38.5433602817106,0.681037969604482,2.95333333333333,51.022,0.32198,45.186,239.424,1884.609,1597.992,139.355,6.585,NA,NA,NA,NA,NA,NA,NA
"72","LEPA3","LEPA","lepa","large",43.4797839082078,0.681037969604482,2.95333333333333,53.609,0.24644,57.108,581.292,1143.205,65.241,66.151,2.938,0.97,1.6255,33.621,2.1065,0.209,12.3765,44.368
"73","lepa4","lepa","lepa","small",38.5433602817106,0.681037969604482,2.95333333333333,48.377,0.39087,147.198,748.14,2870.988,14424.7,246.435,9.744,NA,NA,NA,NA,NA,NA,NA
"74","LEPA4","LEPA","lepa","large",46.027690296512,0.681037969604482,2.95333333333333,52.875,0.26845,154.4,264.091,642.264,66.406,43.706,5.722,1.08633333333333,1.62433333333333,30.9411666666667,1.70333333333333,0.272166666666667,12.2473333333333,47.0228333333333
"75","mede1","mede","mede","small",49.2637215528782,0.589876033057851,3.67,52.419,0.44914,61.462,827.173,2509.151,406.356,232.585,25.226,NA,NA,NA,NA,NA,NA,NA
"76","MEDE1","MEDE","mede","large",50.3482514967216,0.575611528219552,3.16333333333333,52.878,0.36504,60.346,612.558,708.186,30.484,64.145,6.096,0.8645,2.5415,43.9915,1.17,0.222,9.2155,37.902
"77","mede2","mede","mede","small",44.9542378554309,0.568479275800402,2.91,51.83,0.50135,79.593,749.61,3048.462,903.039,295.21,36.625,NA,NA,NA,NA,NA,NA,NA
"78","MEDE2","MEDE","mede","large",49.7393185152417,0.575611528219552,3.16333333333333,51.921,0.37142,35.868,306.984,620.143,20.76,44.729,4.756,0.7035,1.706,46.5775,1.807,0.174,10.566,35.459
"79","mede3","mede","mede","small",46.3907324212466,0.575611528219552,3.16333333333333,50.954,0.47695,0,1293.507,3574.252,3373.399,392.553,22.224,NA,NA,NA,NA,NA,NA,NA
"80","MEDE3","MEDE","mede","large",46.7332890429041,0.575611528219552,3.16333333333333,52.116,0.35149,56.351,395.676,701.64,42.178,62.73,1.184,0.687,1.6095,42.461,1.6365,0.2665,11.5385,38.2725
"81","olst1","olst","olst","small",42.7624872579001,0.620711166562695,1.12,47.673,0.23319,83.578,5014.116,2171.139,8589.504,134.944,40.831,NA,NA,NA,NA,NA,NA,NA
"82","olst3","olst","olst","small",37.5,0.635071090047393,0.390000000000001,47.673,0.23319,83.578,5014.116,2171.139,8589.504,134.944,40.831,NA,NA,NA,NA,NA,NA,NA
"83","olst4","olst","olst","small",39.0191897654584,0.657370517928287,1.14,47.673,0.23319,83.578,5014.116,2171.139,8589.504,134.944,40.831,NA,NA,NA,NA,NA,NA,NA
"84","peli1","peli","peli","small",46.7492498580813,0.497954545454545,3.11,51.49,0.27355,178.932,1019.993,657.279,3605.033,96.045,39.67,NA,NA,NA,NA,NA,NA,NA
"85","PELI1","PELI","peli","large",45.7273550122435,0.522862228845835,2.77,53.699,0.14047,78.849,297.462,577.599,49.706,63.022,21.617,1.271,1.268,32.452,2.053,0.331,13.3025,43.4155
