OTUId,taxonomy,kingdom,phylum,genus,species,Trophic.Mode,Guild
ITSall_OTUa_6839,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Incertae_sedis;g__Myrothecium;s__Myrothecium_leucotrichum;,Fungi,Ascomycota,Myrothecium,Myrothecium_leucotrichum,Saprotroph,Undefined Saprotroph
ITSall_OTUa_6843,k__Fungi;p__Ascomycota;c__Leotiomycetes;unclassified;unclassified;unclassified;unclassified;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7630,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae_sedis;unclassified;unclassified;,Fungi,Basidiomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7631,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Trechispora;unclassified;,Fungi,Basidiomycota,Trechispora,unclassified,Saprotroph,Wood Saprotroph
ITSall_OTUa_7640,k__Fungi;p__Ascomycota;unclassified;unclassified;unclassified;unclassified;unclassified;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7641,k__Fungi;p__Ascomycota;c__Incertae_sedis;o__Incertae_sedis;f__Incertae_sedis;g__Vermispora;unclassified;,Fungi,Ascomycota,Vermispora,unclassified,unclassified,unclassified
ITSall_OTUa_7648,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae_sedis;g__Rhodotorula;s__Rhodotorula_aurantiaca;,Fungi,Basidiomycota,Rhodotorula,Rhodotorula_aurantiaca,unclassified,unclassified
ITSall_OTUa_7613,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Hydnaceae;unclassified;unclassified;,Fungi,Basidiomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7626,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__unclassified_Cortinariaceae;s__Cortinariaceae_sp;,Fungi,Basidiomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7628,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala;unclassified;,Fungi,Ascomycota,Exophiala,unclassified,Saprotroph,Undefined Saprotroph
ITSall_OTUa_7516,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Amphisphaeriaceae;g__Seimatosporium;unclassified;,Fungi,Ascomycota,Seimatosporium,unclassified,Pathotroph,Plant Pathogen
ITSall_OTUa_7517,k__Fungi;p__Ascomycota;c__Dothideomycetes;unclassified;unclassified;unclassified;unclassified;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7485,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Arachnopeziza;s__Arachnopeziza_aurata;,Fungi,Ascomycota,Arachnopeziza,Arachnopeziza_aurata,Saprotroph,Undefined Saprotroph
ITSall_OTUa_7494,k__Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;,Fungi,unclassified,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7500,k__Fungi;p__Basidiomycota;c__Agaricomycetes;unclassified;unclassified;unclassified;unclassified;,Fungi,Basidiomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7501,k__Fungi;p__Ascomycota;unclassified;unclassified;unclassified;unclassified;unclassified;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7549,k__Fungi;p__Ascomycota;unclassified;unclassified;unclassified;unclassified;unclassified;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7555,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae_sedis;g__Cryptococcus;s__Cryptococcus_fonsecae;,Fungi,Basidiomycota,Cryptococcus,Cryptococcus_fonsecae,Pathotroph-Saprotroph,Animal Pathogen-Saprotroph
ITSall_OTUa_7533,k__Fungi;p__Basidiomycota;unclassified;unclassified;unclassified;unclassified;unclassified;,Fungi,Basidiomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7534,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae_sedis;g__Rhodotorula;unclassified;,Fungi,Basidiomycota,Rhodotorula,unclassified,unclassified,unclassified
ITSall_OTUa_7535,k__Fungi;p__Basidiomycota;c__Incertae_sedis;o__Incertae_sedis;f__Incertae_sedis;g__Punctulariopsis;s__Punctulariopsis_efibulata;,Fungi,Basidiomycota,Punctulariopsis,Punctulariopsis_efibulata,Saprotroph,Undefined Saprotroph
ITSall_OTUa_7540,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;unclassified;unclassified;,Fungi,Ascomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7796,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_redolens;,Fungi,Ascomycota,Fusarium,Fusarium_redolens,Pathotroph,Plant Pathogen
ITSall_OTUa_7650,k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Incertae_sedis;g__Rhodotorula;s__Rhodotorula_armeniaca;,Fungi,Basidiomycota,Rhodotorula,Rhodotorula_armeniaca,unclassified,unclassified
ITSall_OTUa_7654,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Guignardia;s__Guignardia_camelliae;,Fungi,Ascomycota,Guignardia,Guignardia_camelliae,Pathotroph,Plant Pathogen
ITSall_OTUa_7656,k__Fungi;p__Basidiomycota;unclassified;unclassified;unclassified;unclassified;unclassified;,Fungi,Basidiomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7658,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae_sedis;g__Cryptococcus;s__Cryptococcus_armeniacus;,Fungi,Basidiomycota,Cryptococcus,Cryptococcus_armeniacus,Pathotroph-Saprotroph,Animal Pathogen-Saprotroph
ITSall_OTUa_7667,k__Fungi;p__Basidiomycota;c__Agaricomycetes;unclassified;unclassified;unclassified;unclassified;,Fungi,Basidiomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7729,k__Fungi;unclassified;unclassified;unclassified;unclassified;unclassified;unclassified;,Fungi,unclassified,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7734,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae_sedis;g__Fellomyces;s__Fellomyces_chinensis;,Fungi,Basidiomycota,Fellomyces,Fellomyces_chinensis,unclassified,unclassified
ITSall_OTUa_7696,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Clitopilus;s__Clitopilus_hobsonii;,Fungi,Basidiomycota,Clitopilus,Clitopilus_hobsonii,Saprotroph,Undefined Saprotroph
ITSall_OTUa_7700,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;unclassified;unclassified;unclassified;unclassified;,Fungi,Basidiomycota,unclassified,unclassified,unclassified,unclassified
ITSall_OTUa_7271,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Incertae_sedis;g__Bullera;s__Bullera_miyagiana;,Fungi,Basidiomycota,Bullera,Bullera_miyagiana,unclassified,unclassified
