"","community","codeStem","mean","se","n","upper","lower","size","time13","time25","time37","time59","time7"
"178","oo","JASC1",0,NA,1,NA,NA,"large",-0.0318487394318747,0.0064096903233504,-0.169518095363166,0.143519616483413,0.0325371441059933
"179","oo","jasc2",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"180","oo","JASC2",0,NA,1,NA,NA,"large",-0.0169790394415684,-0.0391908976657744,0.117533056144285,0.146883756299803,0.00563532379339641
"181","oo","jasc3",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"182","oo","JASC3",0,NA,1,NA,NA,"large",0.111144917722245,0.0566525323998787,0.0493806149633427,0.172633708926653,0.081512811723333
"183","oo","LEPA1",0,NA,1,NA,NA,"large",-0.0164864206767371,0.0613324848049549,0.185477450864062,0.0747037995508136,0.0283340078313151
"184","oo","lepa2",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"185","oo","LEPA2",0,NA,1,NA,NA,"large",0.00197957420680297,0.0459545111260065,-0.0521884936359672,0.103110560960562,0.0253058553223096
"186","oo","lepa3",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"187","oo","LEPA3",0,NA,1,NA,NA,"large",0.0744164110769422,-0.0885742009755902,0.067811968603679,0.415073957064125,0.0741135419442596
"188","oo","LEPA4",0,NA,1,NA,NA,"large",-0.00784010758731821,NA,0.176964581495046,-0.252497603682582,-0.0455273051969241
"189","oo","mede1",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"190","oo","MEDE1",0,NA,1,NA,NA,"large",-0.0277283620258118,0.0451360598842972,-0.0370586505760847,-0.0781941879665144,-0.045046737765563
"191","oo","mede2",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"192","oo","MEDE2",0,NA,1,NA,NA,"large",-0.0174045295871941,NA,-0.214048966771823,-0.0022392982648119,-0.0131036962272891
"193","oo","mede3",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"194","oo","MEDE3",0,NA,1,NA,NA,"large",0.0532675793328364,-0.0257598288921611,0.090266069064659,-0.144020728703421,0.0141831122971813
"195","oo","peli1",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"196","oo","PELI1",0,NA,1,NA,NA,"large",-0.0268238468376295,0.0883851058119847,-0.0882004754138279,-0.10026013961294,-0.0635663459819557
"197","oo","peli2",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"198","oo","PELI2",0,NA,1,NA,NA,"large",NA,-0.155691172366064,NA,-0.255791099793412,-0.140670194566127
"199","oo","peli3",1,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"200","oo","PELI3",2,NA,1,NA,NA,"large",-0.0388345175754374,NA,0.0333553160213016,0.0598506537242653,-0.0265184436673853
"201","oo","pepu1",1,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
"202","oo","PEPU1",0,NA,1,NA,NA,"large",-0.0219507812516982,0.0877641739349737,0.106970016044298,-0.0482304019932278,-0.0103238546876922
"203","oo","pepu2",0,NA,1,NA,NA,"small",NA,NA,NA,NA,NA
